"","uniqueid","enroldt","Pctpov","poverty_rate","integrated"
"447",1196,"7/5/2005",13.8047138,13.8047138047138,13.8047138
"448",1200,"7/7/2005",12.58341277,12.4118476727786,12.58341277
"449",1204,"7/7/2005",7.204610951,NA,7.204610951
"450",1205,"7/7/2005",NA,NA,NA
"451",1206,"7/8/2005",24.70612497,NA,24.70612497
"452",1208,"7/8/2005",27.18393923,27.1544715447154,27.18393923
"453",1210,"7/11/2005",12.77085331,NA,12.77085331
"454",1211,"7/11/2005",26.288792,NA,26.288792
"455",1214,"7/12/2005",8.248242939,NA,8.248242939
"456",1215,"7/12/2005",5.381545532,NA,5.381545532
"457",1216,"7/12/2005",7.933014354,NA,7.933014354
"458",1217,"7/12/2005",14.79222265,NA,14.79222265
"459",1220,"7/12/2005",22.33926625,NA,22.33926625
"460",1223,"7/13/2005",3.524037416,3.41483979763912,3.524037416
"461",1224,"7/13/2005",11.80625631,NA,11.80625631
"462",1226,"7/13/2005",32.97142857,21.448832642374,32.97142857
"463",1229,"7/14/2005",NA,NA,NA
"464",1231,"7/14/2005",35.12215207,NA,35.12215207
"465",1236,"7/15/2005",7.795560145,NA,7.795560145
"466",1238,"7/15/2005",5.092918676,NA,5.092918676
"467",1239,"7/15/2005",NA,NA,NA
"468",1242,"7/15/2005",NA,NA,NA
"469",1245,"7/18/2005",3.850248403,NA,3.850248403
"470",1246,"7/18/2005",14.60288396,NA,14.60288396
"471",1248,"7/19/2005",8.824599709,NA,8.824599709
"472",1251,"7/19/2005",14.48982761,NA,14.48982761
"473",1256,"7/19/2005",NA,NA,NA
"474",1261,"7/20/2005",22.40767045,NA,22.40767045
"475",1262,"7/20/2005",NA,NA,NA
"476",1265,"7/20/2005",5.752610731,NA,5.752610731
"477",1269,"7/21/2005",11.34185304,11.1916771752837,11.34185304
"478",1270,"7/21/2005",6.114839672,NA,6.114839672
"479",1272,"7/22/2005",NA,NA,NA
"480",1275,"7/26/2005",20.98707403,20.6140350877193,20.98707403
"481",1276,"7/26/2005",22.5536031,NA,22.5536031
"482",1280,"7/26/2005",NA,11.6077537058153,11.6077537058153
"483",1281,"7/27/2005",NA,NA,NA
"484",1288,"7/28/2005",4.673892007,6.0599959734246,4.673892007
"485",1289,"7/28/2005",24.70612497,NA,24.70612497
"486",1291,"7/28/2005",24.9614495,NA,24.9614495
"487",1292,"7/29/2005",NA,NA,NA
"488",1293,"7/29/2005",22.5536031,NA,22.5536031
"489",1294,"7/29/2005",28.61526659,19.4828937059284,28.61526659
"490",1297,"8/1/2005",15.08244423,13.7976929902396,15.08244423
"491",1298,"8/1/2005",37.73383218,NA,37.73383218
"492",1300,"8/1/2005",8.353158869,NA,8.353158869
"493",1301,"8/1/2005",15.2538256,NA,15.2538256
"494",1303,"8/1/2005",NA,32.1310489930869,32.1310489930869
"495",1309,"8/2/2005",NA,15.1475237091675,15.1475237091675
"496",1310,"8/2/2005",5.791075051,NA,5.791075051
"497",1311,"8/2/2005",5.347593583,NA,5.347593583
"498",1312,"8/2/2005",NA,NA,NA
"499",1313,"8/2/2005",NA,NA,NA
"500",1314,"8/2/2005",18.88671875,NA,18.88671875
"501",1323,"8/4/2005",18.88671875,NA,18.88671875
"502",1324,"8/4/2005",5.27921475,NA,5.27921475
"503",1326,"8/5/2005",1.025074909,NA,1.025074909
"504",1327,"8/5/2005",NA,NA,NA
"505",1328,"8/5/2005",19.82142857,NA,19.82142857
"506",1330,"8/5/2005",25.07457739,NA,25.07457739
"507",1331,"8/5/2005",NA,NA,NA
"508",1344,"8/10/2005",NA,NA,NA
"509",1348,"8/10/2005",9.214245336,NA,9.214245336
"510",1350,"8/11/2005",34.72222222,33.0292544825417,34.72222222
"511",1354,"8/12/2005",8.18772299,NA,8.18772299
"512",1356,"8/12/2005",10.36768187,NA,10.36768187
